url,breed_primary,age,sex,size,coat,fixed,house_trained,shots_current,name,contact_city,contact_state,contact_zip
https://www.petfinder.com/dog/maggie-46004956/nj/oakland/real-dog-rescue-inc-nj877/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Cocker Spaniel,Baby,Female,Small,Short,TRUE,TRUE,TRUE,Maggie,Oakland,NJ,7436
https://www.petfinder.com/dog/zac-brown-45985885/nj/oakland/real-dog-rescue-inc-nj877/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Retriever,Adult,Male,Medium,Short,TRUE,TRUE,TRUE,Zac Brown,Oakland,NJ,7436
https://www.petfinder.com/dog/chi-45985813/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Adult,Male,Small,Long,FALSE,FALSE,TRUE,Chi,Pompton Lakes,NJ,7442
https://www.petfinder.com/dog/oscar-45985805/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,Baby,Male,Medium,Short,FALSE,FALSE,TRUE,Oscar,Pompton Lakes,NJ,7442
https://www.petfinder.com/dog/punky-brewster-45985797/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Golden Retriever,Baby,Female,Medium,Medium,FALSE,FALSE,TRUE,Punky Brewster,Pompton Lakes,NJ,7442
https://www.petfinder.com/dog/bon-marie-45985788/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,German Shepherd Dog,Baby,Female,Small,Short,FALSE,FALSE,TRUE,Bon Marie,Pompton Lakes,NJ,7442
https://www.petfinder.com/dog/great-pyrenees-girl-45985772/nj/pompton-lakes/ruff-rehab-inc-nj755/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Great Pyrenees,Baby,Female,Extra Large,Long,FALSE,FALSE,TRUE,Great Pyrenees Girl,Pompton Lakes,NJ,7442
https://www.petfinder.com/dog/dutchess-45982949/nj/park-ridge/halfway-hounds-nj613/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,American Staffordshire Terrier,Young,Female,Medium,Short,TRUE,TRUE,TRUE,Dutchess,Park Ridge,NJ,7656
https://www.petfinder.com/dog/zibo-45982574/nj/wanaque/all-humane-animal-rescue-nj563/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Great Pyrenees,Baby,Male,Large,Medium,FALSE,FALSE,TRUE,Zibo,Wanaque,NJ,7465
https://www.petfinder.com/dog/konya-45982545/nj/wanaque/all-humane-animal-rescue-nj563/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Great Pyrenees,Baby,Female,Large,Medium,FALSE,FALSE,TRUE,konya,Wanaque,NJ,7465
https://www.petfinder.com/dog/suri-45979951/nj/haskell/bright-starz-neu-life-animal-rescue-inc-nj881/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,Baby,Female,Medium,Short,TRUE,TRUE,TRUE,Suri,Haskell,NJ,7420
